TF,tf_activity,n_targets_mapped,pct_age_dependent_onset,pct_down_in_MUT,pct_sig_interaction,tf_own_interaction_pattern
SP1,4.332,594,57.1,57.6,34.0,no_genotype_effect
TP53,6.417,393,63.9,57.8,44.3,no_genotype_effect
JUN,5.488,344,56.1,48.5,27.9,age_dependent_onset
NFKB,5.007,280,62.9,48.6,35.7,unmapped
AP1,6.536,272,54.8,47.8,25.4,unmapped
ESR1,4.087,267,59.2,52.8,31.8,age_dependent_onset
AR,3.98,221,55.7,57.9,29.4,age_dependent_onset
RELA,4.079,194,64.9,39.7,36.6,no_genotype_effect
CEBPB,3.332,187,64.7,52.9,35.3,age_dependent_onset
SPI1,4.316,167,60.5,40.7,27.5,age_dependent_onset
STAT3,4.031,164,65.2,45.7,35.4,age_dependent_onset
CREB1,3.237,160,62.5,52.5,36.2,no_genotype_effect
E2F1,-7.604,156,76.3,76.3,65.4,no_genotype_effect
EGR1,4.444,156,61.5,39.1,37.8,unmapped
NFKB1,3.343,155,65.8,40.0,40.6,no_genotype_effect
HIF1A,5.722,149,66.4,44.3,43.0,age_dependent_onset
FOS,4.011,118,56.8,47.5,33.1,no_genotype_effect
STAT1,3.427,108,64.8,55.6,37.0,no_genotype_effect
MYB,3.109,98,68.4,43.9,43.9,no_genotype_effect
TP63,3.594,90,65.6,52.2,42.2,age_dependent_onset
E2F4,-6.014,88,85.2,90.9,71.6,unmapped
RARA,3.308,79,65.8,41.8,38.0,unmapped
SMAD3,4.924,75,54.7,54.7,41.3,age_dependent_onset
FOXO3,4.66,74,59.5,33.8,40.5,unmapped
RUNX1,4.22,70,65.7,31.4,40.0,age_dependent_onset
NFE2L2,4.02,67,52.2,52.2,37.3,age_dependent_onset
ETS1,4.975,65,64.6,35.4,30.8,no_genotype_effect
IRF1,2.932,59,50.8,52.5,33.9,age_dependent_onset
BCL6,2.941,58,51.7,41.4,29.3,age_dependent_onset
MYOD1,3.514,54,68.5,48.1,50.0,age_dependent_onset
GATA2,2.916,53,52.8,37.7,34.0,no_genotype_effect
SMAD4,2.836,51,54.9,47.1,35.3,no_genotype_effect
STAT6,2.958,50,70.0,34.0,32.0,no_genotype_effect
ATF2,4.093,49,55.1,34.7,26.5,no_genotype_effect
YBX1,3.007,47,66.0,46.8,40.4,age_dependent_onset
ATF4,3.966,46,67.4,41.3,41.3,unmapped
REL,3.343,43,65.1,32.6,32.6,no_genotype_effect
SRF,4.665,43,60.5,32.6,32.6,age_dependent_onset
MEF2A,4.527,43,60.5,32.6,30.2,age_dependent_onset
MEF2C,3.454,42,64.3,35.7,26.2,age_dependent_onset
ETS2,4.778,40,67.5,30.0,45.0,unmapped
JUNB,3.89,34,58.8,29.4,23.5,age_dependent_onset
NFATC1,4.524,33,54.5,42.4,45.5,age_dependent_onset
HSF1,3.247,33,63.6,39.4,33.3,unmapped
ETV4,3.404,31,61.3,38.7,32.3,no_genotype_effect
CLOCK,3.316,31,71.0,54.8,48.4,no_genotype_effect
E2F3,-4.058,31,87.1,77.4,77.4,age_dependent_onset
MYOG,3.659,26,61.5,26.9,19.2,no_genotype_effect
JUND,4.716,26,73.1,34.6,30.8,age_dependent_onset
SMAD1,3.631,26,61.5,23.1,26.9,unmapped
EPAS1,3.572,24,58.3,41.7,45.8,no_genotype_effect
NFATC2,3.83,23,78.3,39.1,47.8,no_genotype_effect
TFDP1,-3.098,22,72.7,72.7,68.2,age_dependent_onset
E2F2,-3.796,22,90.9,90.9,90.9,unmapped
TFAP4,2.932,21,66.7,38.1,52.4,no_genotype_effect
NFATC4,3.261,18,55.6,16.7,22.2,no_genotype_effect
EGR2,3.732,17,76.5,17.6,41.2,no_genotype_effect
ERG,3.381,17,64.7,47.1,35.3,no_genotype_effect
SP7,2.845,16,87.5,31.2,50.0,no_genotype_effect
ZBTB16,3.184,15,86.7,26.7,33.3,no_genotype_effect
NFAT5,2.971,14,78.6,50.0,35.7,no_genotype_effect
TBX21,3.586,12,75.0,16.7,41.7,age_dependent_onset
FOXJ1,-4.235,12,83.3,100.0,66.7,no_genotype_effect
MSC,2.965,10,60.0,60.0,50.0,unmapped
CEBPZ,3.001,10,90.0,20.0,50.0,age_dependent_onset
ELF1,2.843,9,77.8,22.2,44.4,unmapped
RARG,2.883,8,87.5,25.0,37.5,no_genotype_effect
HCFC1,-3.105,4,100.0,100.0,75.0,unmapped
KLF15,3.292,4,100.0,25.0,50.0,age_dependent_onset
ETV2,3.241,1,100.0,0.0,100.0,unmapped
ARID4B,-2.846,0,0.0,0.0,0.0,no_genotype_effect
