gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,qvalue,tf_family
ENSDARG00000104613,386.0121568827601,-5.875396606795282,0.6132964042530009,-9.580027807193089,9.701881201828146e-22,1.0674009698251328e-17,znf1179,1.0674009698251328e-17,zf-C2H2
ENSDARG00000098901,14.164379023718825,-5.129235100844761,0.8989748760814606,-5.7056489978925455,1.1590061974417418e-08,4.322503791272557e-06,CABZ01002768.1,4.322503791272557e-06,zf-C2H2
ENSDARG00000039116,128.359098185515,9.024880979976432,1.6742571808693534,5.390379138341391,7.03091890990529e-08,1.8866870694336097e-05,nr5a5,1.8866870694336097e-05,SF-like
ENSDARG00000113971,20.31986930689403,-4.780764356933121,0.9425480919941852,-5.072170213424627,3.933043474821643e-07,7.7966386144122e-05,LO018181.1,7.7966386144122e-05,zf-C2H2
ENSDARG00000110637,54.91102136317366,3.615066440887862,0.7386518741426029,4.894141025613838,9.873602031868436e-07,0.0001609323993401,si_ch211-212k5.1,0.0001609323993401,zf-C2H2
ENSDARG00000070721,22.172806340982618,-2.418865759676709,0.5140853082195145,-4.705183596968021,2.5363759212966968e-06,0.0003600671985304,vdrb,0.0003600671985304,THR-like
ENSDARG00000103589,74.46101803599073,4.0279199280909435,0.9777613790537212,4.119532653242215,3.796416239044352e-05,0.0033820381750579,gata6,0.0033820381750579,zf-GATA
ENSDARG00000036096,49.04106592389717,-3.5440857753219266,0.8639919557720491,-4.101989320207257,4.096131839052848e-05,0.0036176622867462,smad3a,0.0036176622867462,MH1
ENSDARG00000079980,66.24393773687811,4.431504288354331,1.1018199002251194,4.021986068184921,5.770947206355007e-05,0.0047918461256088,si_ch211-202h22.9,0.0047918461256088,zf-LITAF-like
ENSDARG00000056729,25.613256527672203,4.984488438219433,1.2686473364683295,3.928978759452009,8.530737333021673e-05,0.0066328743560356,her4.2,0.0066328743560356,bHLH
ENSDARG00000091994,13.799280140851652,4.9693968285800585,1.2894390441687271,3.853921479307864,0.0001162408882375,0.0084136990288753,znf1048,0.0084136990288753,zf-C2H2
ENSDARG00000116941,44.90842437875705,6.3361738855903775,1.650162040994774,3.839728298301369,0.0001231705466006,0.008804566126577,nfil3-3,0.008804566126577,TF_bZIP
ENSDARG00000030125,774.4037548563872,-1.543898526348052,0.4075553540529593,-3.788193458863092,0.0001517466717809,0.0102801580031224,sox7,0.0102801580031224,HMG
ENSDARG00000053209,86.71625503128011,-1.9998629445792928,0.5286372564489742,-3.783053351201565,0.0001549161923756,0.01036944978111,smad6a,0.01036944978111,MH1
ENSDARG00000087070,12.925125434765976,5.572054477589839,1.476037520534646,3.7750086973206103,0.0001600020809279,0.0105248956485633,znf977,0.0105248956485633,zf-C2H2
ENSDARG00000102480,16.342442990533996,-2.0980884079492164,0.5898208745842592,-3.557162010293504,0.0003748829728436,0.0209363577016533,BX005417.2,0.0209363577016533,zf-C2H2
ENSDARG00000015902,118.09403976872426,-1.6842043866133805,0.4777443939539713,-3.5253252742001755,0.0004229630940634,0.0232830709996143,stat6,0.0232830709996143,STAT
ENSDARG00000104006,4.92156806313131,-4.581392695209687,1.3005203070563465,-3.522738299703607,0.000427112877453,0.0233205750756262,znf1082,0.0233205750756262,zf-C2H2
ENSDARG00000096030,7.447524627301195,-4.325157826335069,1.2328029117632624,-3.5083935842987675,0.0004508215515872,0.0242539790247599,si_dkey-262g12.7,0.0242539790247599,zf-C2H2
ENSDARG00000012788,78.09934727653261,4.20354384667532,1.200972122237539,3.5001177536441657,0.0004650526772825,0.0247174374660026,foxa3,0.0247174374660026,Fork head
ENSDARG00000009470,29.19469831249737,4.084006574685832,1.1899393585096223,3.4321131959203166,0.000598897529071,0.0305757337115522,hnf1a,0.0305757337115522,Homeobox
ENSDARG00000036855,94.81606510784547,-1.491061155528722,0.4365005237407559,-3.4159435657728676,0.0006356141806444,0.0320491290262134,plagx,0.0320491290262134,zf-C2H2
ENSDARG00000076252,7.971946902481133,4.330997224802302,1.2733594491429805,3.4012369623653633,0.000670816515999,0.033095620219829,si_dkey-247i3.1,0.033095620219829,zf-C2H2
ENSDARG00000059267,131.98600854682533,-2.4539982153440723,0.724107877130313,-3.3889953318412007,0.0007014920472719,0.0340742406361435,hoxd11a,0.0340742406361435,Homeobox
ENSDARG00000009822,64.65310380305043,3.0591044938001284,0.9048024828306144,3.3809638587970308,0.0007223204288915,0.03462731746695,her4.4,0.03462731746695,bHLH
ENSDARG00000003411,23.86640603600615,5.3999571048149395,1.6048776590505038,3.3647157304250372,0.0007662255797307,0.0362581239922478,foxa2,0.0362581239922478,Fork head
ENSDARG00000098952,22.51109347434476,3.6746487102462777,1.111452992593992,3.3061665538099883,0.0009458184905677,0.0417907431053288,gata4,0.0417907431053288,zf-GATA
ENSDARG00000091896,14.824418846084097,-2.379132869144569,0.7203169871596856,-3.302897073864431,0.0009569150380744,0.0420278612730345,znf1172,0.0420278612730345,zf-C2H2
ENSDARG00000030896,38.73075103251371,-5.190593681238525,1.593429043925134,-3.2574991029738007,0.0011239861363296,0.0483839607062639,foxq1a,0.0483839607062639,Fork head
ENSDARG00000026395,24.180642788335145,-3.183372568321703,0.9797566818000616,-3.2491460660141045,0.0011575202436637,0.0491700298099958,rfx4,0.0491700298099958,RFX
ENSDARG00000061810,73.22100020754252,-2.5246088027259925,0.7780517767881489,-3.2447825171067035,0.001175403567291,0.0498334876583277,mbd3b,0.0498334876583277,MBD
